행번호,종목,구분,성별,연령 하한선,연령 상한선,등급,기준 하한선,기준 상한선
"118","윗몸일으키기(2분)","군인","남성","47","49","3급(합격)","41","48"
"119","윗몸일으키기(2분)","군인","남성","47","49","불합격","0","40"
"120","","","","","","","",""
"121","윗몸일으키기(2분)","군인","남성","50","51","특급(합격)","62","999"
"122","윗몸일으키기(2분)","군인","남성","50","51","1급(합격)","54","61"
"123","윗몸일으키기(2분)","군인","남성","50","51","2급(합격)","46","53"
"124","윗몸일으키기(2분)","군인","남성","50","51","3급(합격)","38","45"
"125","윗몸일으키기(2분)","군인","남성","50","51","불합격","0","37"
"126","","","","","","","",""
"127","윗몸일으키기(2분)","군인","남성","52","53","특급(합격)","60","999"
"128","윗몸일으키기(2분)","군인","남성","52","53","1급(합격)","52","59"
"129","윗몸일으키기(2분)","군인","남성","52","53","2급(합격)","44","51"
"130","윗몸일으키기(2분)","군인","남성","52","53","3급(합격)","36","43"
"131","윗몸일으키기(2분)","군인","남성","52","53","불합격","0","35"
"132","","","","","","","",""
"133","윗몸일으키기(2분)","군인","남성","54","55","특급(합격)","58","999"
"134","윗몸일으키기(2분)","군인","남성","54","55","1급(합격)","50","57"
"135","윗몸일으키기(2분)","군인","남성","54","55","2급(합격)","42","49"
"136","윗몸일으키기(2분)","군인","남성","54","55","3급(합격)","34","41"
"137","윗몸일으키기(2분)","군인","남성","54","55","불합격","0","33"
"138","","","","","","","",""
"139","윗몸일으키기(2분)","군인","남성","56","57","특급(합격)","56","999"
"140","윗몸일으키기(2분)","군인","남성","56","57","1급(합격)","48","55"
"141","윗몸일으키기(2분)","군인","남성","56","57","2급(합격)","40","47"
"142","윗몸일으키기(2분)","군인","남성","56","57","3급(합격)","32","39"
"143","윗몸일으키기(2분)","군인","남성","56","57","불합격","0","31"
"144","","","","","","","",""
"145","윗몸일으키기(2분)","군인","남성","58","59","특급(합격)","54","999"
"146","윗몸일으키기(2분)","군인","남성","58","59","1급(합격)","46","53"
"147","윗몸일으키기(2분)","군인","남성","58","59","2급(합격)","38","45"
"148","윗몸일으키기(2분)","군인","남성","58","59","3급(합격)","30","37"
"149","윗몸일으키기(2분)","군인","남성","58","59","불합격","0","29"
"150","","","","","","","",""
"151","윗몸일으키기(2분)","군인","남성","60","99","특급(합격)","52","999"
"152","윗몸일으키기(2분)","군인","남성","60","99","1급(합격)","44","51"
"153","윗몸일으키기(2분)","군인","남성","60","99","2급(합격)","36","43"
"154","윗몸일으키기(2분)","군인","남성","60","99","3급(합격)","28","35"
"155","윗몸일으키기(2분)","군인","남성","60","99","불합격","0","27"
"156","","","","","","","",""
"157","3Km달리기","군인","남성","0","25","특급(합격)","12:30","00:01"
"158","3Km달리기","군인","남성","0","25","1급(합격)","12:31","13:32"
"159","3Km달리기","군인","남성","0","25","2급(합격)","13:33","14:34"
"160","3Km달리기","군인","남성","0","25","3급(합격)","14:35","15:36"
"161","3Km달리기","군인","남성","0","25","불합격","15:37","180:00"
"162","","","","","","","",""
"163","3Km달리기","군인","남성","26","30","특급(합격)","12:45","00:01"
"164","3Km달리기","군인","남성","26","30","1급(합격)","12:46","13:52"
"165","3Km달리기","군인","남성","26","30","2급(합격)","13:53","14:59"
"166","3Km달리기","군인","남성","26","30","3급(합격)","15:00","16:06"
"167","3Km달리기","군인","남성","26","30","불합격","16:07","180:00"
"168","","","","","","","",""
"169","3Km달리기","군인","남성","31","35","특급(합격)","13:00","00:01"
"170","3Km달리기","군인","남성","31","35","1급(합격)","13:01","14:12"
"171","3Km달리기","군인","남성","31","35","2급(합격)","14:13","15:24"
"172","3Km달리기","군인","남성","31","35","3급(합격)","15:25","16:36"
"173","3Km달리기","군인","남성","31","35","불합격","16:37","180:00"
"174","","","","","","","",""
"175","3Km달리기","군인","남성","36","40","특급(합격)","13:15","00:01"
"176","3Km달리기","군인","남성","36","40","1급(합격)","13:16","14:32"
"177","3Km달리기","군인","남성","36","40","2급(합격)","14:33","15:49"
"178","3Km달리기","군인","남성","36","40","3급(합격)","15:50","17:06"
"179","3Km달리기","군인","남성","36","40","불합격","17:07","180:00"
"180","","","","","","","",""
"181","3Km달리기","군인","남성","41","43","특급(합격)","13:30","00:01"
"182","3Km달리기","군인","남성","41","43","1급(합격)","13:31","14:49"
"183","3Km달리기","군인","남성","41","43","2급(합격)","14:50","16:07"
"184","3Km달리기","군인","남성","41","43","3급(합격)","16:08","17:26"
"185","3Km달리기","군인","남성","41","43","불합격","17:27","180:00"
"186","","","","","","","",""
"187","3Km달리기","군인","남성","44","46","특급(합격)","13:45","00:01"
"188","3Km달리기","군인","남성","44","46","1급(합격)","13:46","15:05"
"189","3Km달리기","군인","남성","44","46","2급(합격)","15:06","16:26"
"190","3Km달리기","군인","남성","44","46","3급(합격)","16:27","17:46"
"191","3Km달리기","군인","남성","44","46","불합격","17:47","180:00"
"192","","","","","","","",""
"193","3Km달리기","군인","남성","47","49","특급(합격)","14:00","00:01"
"194","3Km달리기","군인","남성","47","49","1급(합격)","14:01","15:25"
"195","3Km달리기","군인","남성","47","49","2급(합격)","15:26","16:51"
"196","3Km달리기","군인","남성","47","49","3급(합격)","16:52","18:16"
"197","3Km달리기","군인","남성","47","49","불합격","18:17","180:00"
"198","","","","","","","",""
"199","3Km달리기","군인","남성","50","51","특급(합격)","14:15","00:01"
"200","3Km달리기","군인","남성","50","51","1급(합격)","14:16","15:42"
"201","3Km달리기","군인","남성","50","51","2급(합격)","15:43","17:09"
"202","3Km달리기","군인","남성","50","51","3급(합격)","17:10","18:36"
"203","3Km달리기","군인","남성","50","51","불합격","18:36","180:00"
"204","","","","","","","",""
"205","3Km달리기","군인","남성","52","53","특급(합격)","14:30","00:01"
"206","3Km달리기","군인","남성","52","53","1급(합격)","14:31","16:02"
"207","3Km달리기","군인","남성","52","53","2급(합격)","16:03","17:34"
"208","3Km달리기","군인","남성","52","53","3급(합격)","17:35","19:06"
"209","3Km달리기","군인","남성","52","53","불합격","19:07","180:00"
"210","","","","","","","",""
"211","3Km달리기","군인","남성","54","55","특급(합격)","14:45","00:01"
"212","3Km달리기","군인","남성","54","55","1급(합격)","14:46","16:19"
"213","3Km달리기","군인","남성","54","55","2급(합격)","16:20","17:52"
"214","3Km달리기","군인","남성","54","55","3급(합격)","17:53","19:26"
"215","3Km달리기","군인","남성","54","55","불합격","19:27","180:00"
"216","","","","","","","",""
"217","3Km달리기","군인","남성","56","57","특급(합격)","15:10","00:01"
"218","3Km달리기","군인","남성","56","57","1급(합격)","15:11","16:46"
"219","3Km달리기","군인","남성","56","57","2급(합격)","16:47","18:23"
"220","3Km달리기","군인","남성","56","57","3급(합격)","18:24","19:59"
"221","3Km달리기","군인","남성","56","57","불합격","20:00","180:00"
"222","","","","","","","",""
"223","3Km달리기","군인","남성","58","59","특급(합격)","15:35","00:01"
"224","3Km달리기","군인","남성","58","59","1급(합격)","15:36","17:13"
"225","3Km달리기","군인","남성","58","59","2급(합격)","17:14","18:51"
"226","3Km달리기","군인","남성","58","59","3급(합격)","18:52","20:29"
"227","3Km달리기","군인","남성","58","59","불합격","20:30","180:00"
"228","","","","","","","",""
"229","3Km달리기","군인","남성","60","99","특급(합격)","16:00","00:01"
"230","3Km달리기","군인","남성","60","99","1급(합격)","16:01","17:40"
"231","3Km달리기","군인","남성","60","99","2급(합격)","17:41","19:19"
"232","3Km달리기","군인","남성","60","99","3급(합격)","19:20","20:59"
"233","3Km달리기","군인","남성","60","99","불합격","21:00","180:00"
