id,구분,부대명
261,육군,제108정보통신단
262,육군,제1170공병단
263,육군,제308경비연대
264,육군,제8특공대대
265,육군,제148정보대대
266,육군,제518방공대대
267,육군,제8화생방중대
268,육군,제2작전사령부
269,육군,제31향토보병사단
270,육군,충장부대
271,육군,제32향토보병사단
272,육군,백룡부대
273,육군,제35향토보병사단
274,육군,충경부대
275,육군,제37향토보병사단
276,육군,충용부대
277,육군,제39향토보병사단
278,육군,충무부대
279,육군,제50향토보병사단
280,육군,강철부대
281,육군,제53향토보병사단
282,육군,충렬부대
283,육군,제12정보통신단
284,육군,제1115공병단
285,육군,제1117공병단
286,육군,제1118공병단
287,육군,제1120공병단
288,육군,제5군수지원사령부
289,육군,오성부대
290,육군,제51군수지원단
291,육군,제52군수지원단
292,육군,제53군수지원단
293,육군,제19화생방대대
