건물형태, 군구분,부대구분(관리부대),단지명,시도,시군구,읍면동,리,준공연도,공급세대,면적(15)50이하,면적(24)80이하,면적(30)100이하,면적(36)120이하,면적확인불가
아파트,육군,7사단,솔바람 1동,강원도,화천군,화천읍,상리,1999,30,,30,,,
아파트,육군,7사단,"솔바람 2동, 3동",강원도,화천군,상서면,신풍리,2001,60,,60,,,
아파트,육군,7사단,"솔바람 4동, 5동, 6동, 7동",강원도,화천군,상서면,신풍리,2018,60,,,60,,
연립,육군,7사단,화남빌라,강원도,화천군,화천읍,상리,1994,5,,5,,,
아파트,육군,7사단,신아아파트,강원도,화천군,화천읍,중리,1999,80,,80,,,
아파트,육군,7사단,아름드리 1단지,강원도,화천군,상서면,산양리,1995,30,,30,,,
아파트,육군,7사단,아름드리 2단지,강원도,화천군,상서면,산양리,2019,68,,,68,,
아파트,육군,7사단,푸르미 C동,강원도,화천군,화천읍,신읍리,1998,30,,30,,,
아파트,육군,3기갑여단,충성아파트 5동~6동,강원도,홍천군,남면,시동리,1994,54,,54,,,
아파트,육군,3기갑여단,신아아파트,강원도,홍천군,홍천읍,희망리,2000,14,,,14,,
아파트,육군,3기갑여단,청솔아파트,강원도,홍천군,홍천읍,연봉리,2000,27,,27,,,
아파트,육군,3기갑여단,이안아파트,강원도,횡성군,횡성읍,읍하리,2009,99,,,,99,
아파트,육군,3기갑여단,금광포란재아파트,강원도,횡성군,횡성읍,읍하리,2001,10,,10,,,
아파트,육군,3기갑여단,대동아파트,강원도,횡성군,횡성읍,읍하리,1998,6,,,6,,
아파트,육군,27사단,사창리데시앙 아파트,강원도,화천군,사내면,사창리,2011,160,,56,96,8,
아파트,육군,27사단,늘푸른5동,강원도,화천군,사내면,사창리,1993,5,,5,,,
아파트,육군,27사단,늘푸른 8동,강원도,화천군,사내면,사창리,1998,30,,30,,,
아파트,육군,27사단,늘푸른10~12동,강원도,화천군,사내면,사창리,2003,78,,78,,,
아파트,육군,27사단,늘푸른6~7동,강원도,화천군,사내면,사창리,1995,60,,60,,,
아파트,육군,27사단,늘푸른 9동,강원도,화천군,사내면,사창리,2001,27,,27,,,
아파트,육군,27사단,에버그린아파트,강원도,화천군,사내면,사창리,2017,48,,,48,,
아파트,육군,2군단사령부,두미르 2차 아파트,강원도,춘천시,소양로,,2017,500,,400,100,,
아파트,육군,2군단사령부,두미르 1차 아파트,강원도,춘천시,영서로,,2002,428,,,,428,
아파트,육군,2군단사령부,소양아파트,강원도,춘천시,충열로,,1994,70,,70,,,
아파트,육군,2군단사령부,롯데캐슬아파트,강원도,춘천시,마장길,,2009,70,,,,70,
아파트,육군,2군단사령부,신동아파트,강원도,춘천시,옥산포길,,1993,100,,100,,,
아파트,육군,2군단사령부,율문아파트,강원도,춘천시,신북읍,율문리,1996,50,,50,,,
아파트,육군,2군단사령부,현대아파트,강원도,춘천시,사농동,,2002,17,,,17,,
연립,육군,2군단사령부,소양 201동 연립관사,강원도,화천군,충열로,,2009,5,,,5,,
