전공구분,전공명,과목구분,과목명(학점)
공통,체육,필수,해양체육
공통,체육,선택,체육지도법
공통,체육,선택,풋살
공통,체육,선택,배트민턴
공통,체육,선택,윈드서핑
공통,체육,선택,크루저
공통,체육,선택,태권도II
제2전공,전자제어공학과,필수,전자기학(3)
제2전공,전자제어공학과,필수,전자회로(3)
제2전공,전자제어공학과,필수,신호 및 시스템(3)
제2전공,전자제어공학과,필수,에너지 변환공학(3)
제2전공,전자제어공학과,필수,제어공학(3)
제2전공,전자제어공학과,필수,선형 시스템 이론(3)
제2전공,전자제어공학과,선택,회로이론(탐색)(3)
제2전공,전자제어공학과,선택,타전공탐색(5과목)(3)
제2전공,전자제어공학과,선택,초고주파 공학(3)
제2전공,전자제어공학과,선택,디지털 시스템 설계(3)
제2전공,전자제어공학과,선택,통신공학(3) 
제2전공,전자제어공학과,선택,전기기기(3) 
제2전공,전자제어공학과,선택,디지털 신호처리(3) 
제2전공,전자제어공학과,선택,소나/레이더 공학(3) 
제2전공,전자제어공학과,선택,전자광학 시스템(3) 
제2전공,전자제어공학과,선택,확률 및 랜덤 프로세서(3) 
제2전공,조선공학과,필수,기초역학(3)
제2전공,조선공학과,필수,시스템엔지니어링(3)
제2전공,조선공학과,필수,선박계산(3)
제2전공,조선공학과,필수,함정 탑재시스템(3)
제2전공,조선공학과,필수,저항추진(3)
제2전공,조선공학과,필수,함정설계(3)
제2전공,조선공학과,선택,조선공학개론(탐색)(3)
제2전공,조선공학과,선택,타전공탐색(5과목)(3)
제2전공,조선공학과,선택,함정건조공학(3)
제2전공,조선공학과,선택,조선 CAD(3)
제2전공,조선공학과,선택,선체구조해석(3)
제2전공,조선공학과,선택,통합생존성(3)
제2전공,조선공학과,선택,함정신기술이해(3)
제2전공,조선공학과,선택,생산관리(3)
제2전공,조선공학과,선택,해양시스템공학(3)
제2전공,조선공학과,선택,잠수함 설계(3)
제2전공,기계시스템공학과,필수,고체역학(3)
제2전공,기계시스템공학과,필수,유체역학(3)
제2전공,기계시스템공학과,필수,열역학(3)
제2전공,기계시스템공학과,필수,동역학(3)
제2전공,기계시스템공학과,필수,시스템엔지니어링(3)
제2전공,기계시스템공학과,필수,캡스턴 설계(3)
제2전공,기계시스템공학과,선택,기계공학 입문(탐색)(3)
제2전공,기계시스템공학과,선택,타전공탐색(5과목)(3)
제2전공,기계시스템공학과,선택,구조강도 및 파괴(3)
제2전공,기계시스템공학과,선택,핵공학개론 (3)
제2전공,기계시스템공학과,선택,로봇공학(3)
제2전공,기계시스템공학과,선택,재료과학(3)
제2전공,기계시스템공학과,선택,로켓공학(3)
제2전공,기계시스템공학과,선택,핵추진공학(3)
제2전공,기계시스템공학과,선택,신뢰도 공학(3)
제2전공,기계시스템공학과,선택,시스템 모델링 및 시뮬레이션(3)
제2전공, 국방경영학과,필수,경영과학 I(3)
제2전공, 국방경영학과,필수,조직행동론(3)
제2전공, 국방경영학과,필수,생산운영관리(3)
제2전공, 국방경영학과,필수,인적자원관리(3)
제2전공, 국방경영학과,필수,군수관리(3)
제2전공, 국방경영학과,필수,경영전략(3)
제2전공, 국방경영학과,선택,국방의사결정론(탐색)(3)
제2전공, 국방경영학과,선택,타전공탐색(5과목)(3)
제2전공, 국방경영학과,선택,경영과학 Ⅱ(3)
제2전공, 국방경영학과,선택,재무회계관리(3)
제2전공, 국방경영학과,선택,경영정보시스템(3)
제2전공, 국방경영학과,선택,조직구조론(3)
제2전공, 국방경영학과,선택,해군운영분석(3)
제2전공, 국방경영학과,선택,품질경영(3)
제2전공, 국방경영학과,선택,경영협상(3)
제2전공, 국방경영학과,선택,전략적 성과관리(3)
제2전공, 해양학과 ,필수,물리해양학(3)
제2전공, 해양학과 ,필수,해양기상학(3)
제2전공, 해양학과 ,필수,화학해양학(3)
제2전공, 해양학과 ,필수,연안해양학(3)
제2전공, 해양학과 ,필수,수중음향학(3)
제2전공, 해양학과 ,필수,해양자료분석(3)
제2전공, 해양학과 ,선택,해양의 이해(탐색)(3)
제2전공, 해양학과 ,선택,타전공탐색(5과목)(3)
제2전공, 해양학과 ,선택,해양역학개론(3)
제2전공, 해양학과 ,선택,대기과학개론(3)
제2전공, 해양학과 ,선택,환경해양학(3)
제2전공, 해양학과 ,선택,해양모델링(3)
제2전공, 해양학과 ,선택,해군해양학(3)
제2전공, 해양학과 ,선택,수중음향모델링(3)
제2전공, 해양학과 ,선택,지구환경과학개론(3)
제2전공, 해양학과 ,선택,해양생지화학개론(3)
제2전공, 사이버과학과,필수,컴퓨터구조(3)
제2전공, 사이버과학과,필수,객체지향 프로그래밍(3)
제2전공, 사이버과학과,필수,자료구조(3)
제2전공, 사이버과학과,필수,운영체제(3)
제2전공, 사이버과학과,필수,컴퓨터네트워크(3)
제2전공, 사이버과학과,필수,정보보호(3)
제2전공, 사이버과학과,선택,프로그래밍 기초(탐색)(3)
제2전공, 사이버과학과,선택,타전공탐색(5과목)(3)
제2전공, 사이버과학과,선택,데이터베이스(3)
제2전공, 사이버과학과,선택,시스템프로그래밍(3)
제2전공, 사이버과학과,선택,웹 프로그래밍(3)
제2전공, 사이버과학과,선택,무기체계와 프로그래밍(3)
제2전공, 사이버과학과,선택,인공지능(3)
제2전공, 사이버과학과,선택,소프트웨어공학(3)
제2전공, 사이버과학과,선택,알고리즘(3)
제2전공, 사이버과학과,선택,데이터마이닝(3)
제2전공,국제관계학과,필수,국제정치사(3)
제2전공,국제관계학과,필수,국제정치이론(3)
제2전공,국제관계학과,필수,국제안보론(3)
제2전공,국제관계학과,필수,비교정치론(3)
제2전공,국제관계학과,필수,국제경제론(3)
제2전공,국제관계학과,필수,외교정책론(3)
제2전공,국제관계학과,선택,동북아국제관계론(탐색)(3)
제2전공,국제관계학과,선택,타전공탐색(5과목)(3)
제2전공,국제관계학과,선택,국제분쟁론(3)
제2전공,국제관계학과,선택,국제기구론(3)
제2전공,국제관계학과,선택,한국정치론(3)
제2전공,국제관계학과,선택,국제정치세미나(3)
제2전공,국제관계학과,선택,국제법연구(3)
제2전공,국제관계학과,선택,국제정치경제(3)
제2전공,국제관계학과,선택,국방경제학(3)
제2전공,국제관계학과,선택,정치학특강(3)
제2전공,군사전략학과 ,필수,세계전쟁사(3)
제2전공,군사전략학과 ,필수,해양전략(3)
제2전공,군사전략학과 ,필수,한국의 전쟁사(3)
제2전공,군사전략학과 ,필수,세계 해전연구I(3)
제2전공,군사전략학과 ,필수,세계 해전연구Ⅱ(3)
제2전공,군사전략학과 ,필수,주변국 군사전략(3)
제2전공,군사전략학과 ,선택,전쟁과 역사(3)
제2전공,군사전략학과 ,선택,타전공탐색(5과목)(3)
제2전공,군사전략학과 ,선택,국제정치와 전략(3)
제2전공,군사전략학과 ,선택,전략사상연구(3)
제2전공,군사전략학과 ,선택,한국 수군사(3)
제2전공,군사전략학과 ,선택,테러리즘과 해양안보(3)
제2전공,군사전략학과 ,선택,"1,2차 세계대전사(3)"
제2전공,군사전략학과 ,선택,한국전쟁연구(3)
제2전공,군사전략학과 ,선택,국가안보론(3)
제2전공,군사전략학과 ,선택,군비통제와 국제협력(3)
제2전공,외국어학과,필수,미디어영어(3)
제2전공,외국어학과,필수,제2외국어작문(3)
제2전공,외국어학과,필수,제2외국어지역학(3)
제2전공,외국어학과,필수,제2외국어회화Ⅰ(2)
제2전공,외국어학과,필수,제2외국어회화Ⅱ(2)
제2전공,외국어학과,필수,시사제2외국어(3)
제2전공,외국어학과,선택,영어학개론(3)
제2전공,외국어학과,선택,타전공탐색(5과목)(3)
제2전공,외국어학과,선택,영문학개론(3)
제2전공,외국어학과,선택,영어구문연구(3)
제2전공,외국어학과,선택,언어와 사회(3)
제2전공,외국어학과,선택,시사영어(3)
제2전공,외국어학과,선택,영어의미연구(3)
제2전공,외국어학과,선택,고급영작문(3)
제2전공,외국어학과,선택,군사저널강독(3)
제2전공,외국어학과,선택,영미문화연구(3)
